kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
6462863,94.03,CANDIDATE,54.319961510,3.3910000e-05,-3.3910000e-05,6.07,0.12,0.18,1.330,0.026,-0.027,1.339,0.031,-0.035
6467363,2840.01,CANDIDATE,3.679368630,2.0070000e-05,-2.0070000e-05,1.64,0.17,0.25,1.505,0.040,-0.038,1.121,0.087,-0.091
6467363,2840.02,CANDIDATE,7.446463500,1.0350000e-04,-1.0350000e-04,1.37,0.05,0.12,1.505,0.040,-0.038,1.121,0.087,-0.091
6508221,416.03,CANDIDATE,9.747658780,9.8820000e-05,-9.8820000e-05,0.80,0.02,0.09,0.754,0.014,-0.014,0.775,0.037,-0.045
6508221,416.01,CANDIDATE,18.207958350,1.3480000e-05,-1.3480000e-05,3.15,0.21,0.18,0.754,0.014,-0.014,0.775,0.037,-0.045
6508221,416.04,CANDIDATE,31.532298700,9.4210000e-04,-9.4210000e-04,0.76,0.10,0.12,0.754,0.014,-0.014,0.775,0.037,-0.045
6508221,416.02,CANDIDATE,88.255372900,2.1070000e-04,-2.1070000e-04,3.03,0.19,0.50,0.754,0.014,-0.014,0.775,0.037,-0.045
6520753,4504.01,CANDIDATE,4.130298320,5.2160000e-05,-5.2160000e-05,1.57,0.14,0.13,0.884,0.037,-0.035,0.844,0.057,-0.047
6520753,4504.02,CANDIDATE,8.119343000,1.6020000e-04,-1.6020000e-04,1.63,0.16,0.14,0.884,0.037,-0.035,0.844,0.057,-0.047
6521045,41.02,CANDIDATE,6.887070730,2.2770000e-05,-2.2770000e-05,1.35,0.03,0.11,1.526,0.029,-0.028,1.140,0.078,-0.087
6521045,41.01,CANDIDATE,12.815904210,1.9450000e-05,-1.9450000e-05,2.34,0.27,0.09,1.526,0.029,-0.028,1.140,0.078,-0.087
6521045,41.03,CANDIDATE,35.333193200,2.2480000e-04,-2.2480000e-04,1.60,0.33,0.09,1.526,0.029,-0.028,1.140,0.078,-0.087
6525946,2093.03,CANDIDATE,0.496069986,1.6370000e-06,-1.6370000e-06,1.24,0.07,0.07,1.090,0.049,-0.047,1.121,0.046,-0.049
6525946,2093.02,CANDIDATE,2.508116000,1.4540000e-05,-1.4540000e-05,1.53,0.08,0.11,1.090,0.049,-0.047,1.121,0.046,-0.049
6525946,2093.01,CANDIDATE,6.783413250,2.3870000e-05,-2.3870000e-05,2.58,0.47,0.18,1.090,0.049,-0.047,1.121,0.046,-0.049
6527078,4657.01,CANDIDATE,7.576008860,8.5260000e-05,-8.5260000e-05,0.60,0.04,0.04,0.861,0.017,-0.017,0.851,0.054,-0.052
6527078,4657.02,CANDIDATE,10.431484700,7.3800000e-05,-7.3800000e-05,0.86,0.02,0.24,0.861,0.017,-0.017,0.851,0.054,-0.052
6541920,157.06,CANDIDATE,10.304011320,1.8350000e-05,-1.8350000e-05,1.88,0.06,0.04,1.071,0.022,-0.021,1.068,0.052,-0.065
6541920,157.01,CANDIDATE,13.024933070,1.2630000e-05,-1.2630000e-05,2.95,0.08,0.06,1.071,0.022,-0.021,1.068,0.052,-0.065
6541920,157.02,CANDIDATE,22.687155000,2.6450000e-05,-2.6450000e-05,3.28,0.09,0.07,1.071,0.022,-0.021,1.068,0.052,-0.065
